Experiment 2,,,,
,,9 vdc,15 mW,10.5 GHz
,,,,
Angle_i,Angle_r,,,
20,19,,,
30,27,,,
40,39,,,
50,52,,,
60,60,,,
70,70,,,
80,80,,,
90,90,,,
,,,T = 30 cm,
Experiment 3,,,,
cm,cm,n,cm,
x_i,x_f,antinode,lambda,
50,52.8,2,2.1,
50,47.1,2,2.1,
50,41.2,6,2.933,
50,45.7,3,2.86667,
,,,,
Experiment 4,,,,
 ,,,n_1/n_2,
13,20,33,1.592,
